Título,Año,Tipo,Por qué ayuda a la dimensión débil,Fuerza empírica
Exploring GenAI in Software Development: Insights from a Case Study in a Large Brazilian Company,2025,ICSE-SEIP (case study),"Estudio industrial longitudinal (6 semanas) sobre adopción, percepciones y datos de proceso — impacto organizacional real.",Alto (observación + métricas)
Impact of an LLM-based Review Assistant in Practice: A Mixed Open-/Closed-source Case Study,2026,TSE (case study),"Despliegue en Mozilla y Ubisoft; mide aceptación, tiempo extra y efectos en workflow — evidencia directa de transformación organizacional.","Alto (587+ reviews, datos reales)"
Applying generative AI for vulnerability fixing in a proprietary software ecosystem (PSECO-SafePatch),2026,JSS (case study),"Caso industrial grande: gobernanza, CI/CD, reducción de tiempo de remediación y efectos sobre confianza/overreliance y carga cognitiva.",Alto (métricas de remediación)
The Impact of Generative AI-Powered Code Generation Tools on Software Engineer Hiring,2025,HICSS (survey/interviews),"Perspectiva organizacional sobre contratación, evaluación de candidatos y estrategias — evidencia sobre cambios en prácticas de RRHH.",Medio (encuesta n=32)
Rethinking Code Review Workflows with LLM Assistance: An Empirical Study,2025,ESEM (field study),"Estudio industrial sobre workflows, context switching y diseño híbrido (proactivo/on-demand) — conecta carga cognitiva y organización.",Medio–Alto (field experiment)
A framework for estimating AI-driven savings in software development,2026,SPIE (framework),Propuesta cuantitativa para ROI/ahorros en SDLC — útil para reforzar la sección económica con un método reproducible.,Baja–Media (framework; requiere validación empírica)
GPTs are GPTs: Labor market impact potential of LLMs,2024,Science (article),Marco de impacto laboral y estimaciones de exposición de tareas — ancla de alto perfil para discusión económica.,Alto (alto impacto y citaciones)
Investigating the Impact of AI-Assisted Tools on Software Practitioner Well-Being,2025,VL/HCC (mixed-method),"Conecta carga cognitiva, estrés y diferencias individuales — aporta evidencia para Human Factors y políticas organizacionales.",Medio (survey + interviews)
Developers’ Dilemma: Opportunities and Pitfalls of Generative AI for Software Development,2026,BISE (30 expert interviews),"Entrevistas de expertos sobre deskilling, overreliance, team cohesion — fortalece argumentos sobre factores humanos y organización.",Medio (experto cualitativo)
How generative AI is shaping research software development and maintenance at a research-intensive university,2026,Open Research Europe (survey n=251),"Evidencia organizacional en contexto académico: adopción, roles y riesgos de equidad — útil para comparar sectores.",Medio (encuesta amplia)
