Evidence ID,Citation Label,Paper Title,Author Names,Publication Year,Publication Type,Publication Title,Pub Family,DOI,Paper Link,Study Type,Tools Evaluated,Research Questions Addressed,Evaluation Metrics,Key Findings,Main Benefits Reported,venue_tier,overall_score2
E001,Yujia Fu Peng Liang Amjed Tahir Zengyang Li Mojtaba Shahin Jiaxin Yu Jinfu Chen (2023) [E001],Security Weaknesses of Copilot-Generated Code in GitHub Projects: An Empirical Study,"Yujia Fu
Peng Liang
Amjed Tahir
Zengyang Li
Mojtaba Shahin
Jiaxin Yu
Jinfu Chen",2023.0,Journal Article,ACM Transactions on Software Engineering and Methodology,ACM,10.1145/3716848,https://scispace.com/paper/security-weaknesses-of-copilot-generated-code-in-github-3y71wds2hqfn,Observational Study,"GitHub Copilot, CodeWhisperer, Codeium, Copilot Chat","RQ5, RQ6","Security weaknesses, Likelihood of security weaknesses, Number of security issues, CWE categories, Fix rate of security issues","• High likelihood of security weaknesses in AI-generated code from GitHub projects.
• 29.5% of Python and 24.2% of JavaScript snippets affected across 43 CWE categories.
• Up to 55.5% of security issues can be fixed using Copilot Chat.",Ability to produce functional code,Top venue,138.2
E002,nan (2022) [E002],In-IDE Code Generation from Natural Language: Promise and Challenges,,2022.0,Journal Article,ACM Transactions on Software Engineering and Methodology,ACM,10.1145/3487569,https://scispace.com/paper/in-ide-code-generation-from-natural-language-promise-and-1s7u3sl3,Controlled Experiment,Not specified,"RQ1, RQ2, RQ5, RQ7","developer productivity, accuracy, developer experience, increased productivity, code quality, program correctness","• Qualitative developer experience surveys were largely positive.
• Quantitative results for productivity, code quality, or correctness were inconclusive.
• Analysis identified pain points and developer preferences for generation vs. retrieval.",Qualitative surveys of developer experience are largely positive,Top venue,135.4
E003,Dong Huang Jie M. Zhang Qingwen Bu Xiaofei Xie Junjie Chen Heming Cui (2025) [E003],Bias Testing and Mitigation in LLM-based Code Generation,"Dong Huang
Jie M. Zhang
Qingwen Bu
Xiaofei Xie
Junjie Chen
Heming Cui",2025.0,Journal Article,ACM Transactions on Software Engineering and Methodology,ACM,10.1145/3724117,https://scispace.com/paper/bias-testing-and-mitigation-in-llm-based-code-generation-r587fan1eflu,Other (specify): Empirical Study,"PALM-2-CodeChat-bison, Claude-instant-1, GPT-3.5-turbo, GPT-4-turbo, GPT-4","RQ5, RQ6","Ratio of code biases, biased behaviors towards gender","• Biases are prevalent in code generated by LLMs, with 13.47% to 49.10% showing gender bias.
• Direct prompt engineering has limited effectiveness in mitigating bias.
• Test execution feedback significantly reduces code biases (e.g., from 59.88% to 4.79% for GPT-4).",Not reported,Top venue,130.9
E004,Priyan Vaithilingam Tianyi Zhang Elena L. Glassman (2022) [E004],Expectation vs. experience: Evaluating the usability of code generation tools powered by large language models,"Priyan Vaithilingam
Tianyi Zhang
Elena L. Glassman",2022.0,Proceedings Article,CHI Conference on Human Factors in Computing Systems Extended Abstracts,ACM,10.1145/3491101.3519665,https://scispace.com/paper/expectation-vs-experience-evaluating-the-usability-of-code-3c2fciyq,Observational Study,Copilot,"RQ1, RQ4, RQ5, RQ6","Task completion time, Success rate, Understanding, Editing, Debugging, Task-solving effectiveness","*   Copilot did not improve task completion time or success rate.
*   Most participants preferred Copilot for its useful starting point and saving search effort.
*   Participants struggled with understanding, editing, and debugging Copilot-generated code.","Provided a useful starting point, Saved effort of searching online",Top venue,129.5
E005,Shuyin Ouyang Jie M. Zhang Mark Harman Meng Wang (2024) [E005],An empirical study of the non-determinism of chatgpt in code generation,"Shuyin Ouyang
Jie M. Zhang
Mark Harman
Meng Wang",2024.0,Journal Article,ACM Transactions on Software Engineering and Methodology,ACM,10.1145/3697010,https://scispace.com/paper/an-empirical-study-of-the-non-determinism-of-chatgpt-in-code-63bz99u6n4pg,Observational Study,ChatGPT,RQ5,"Semantic similarity, Syntactic similarity, Structural similarity, Correctness, Consistency","• ChatGPT shows high non-determinism in code generation under default settings.
• 75.76%, 51.00%, and 47.56% of tasks had zero equal test output.
• Setting temperature to 0 does not guarantee determinism, only reduces non-determinism.",Not reported,Top venue,127.9
E006,Jie Wu Fatemeh Fard (2025) [E006],A Survey on LLM-based Code Generation for Low-Resource and Domain-Specific Programming Languages,"Jie Wu
Fatemeh Fard",2025.0,Journal Article,ACM Transactions on Software Engineering and Methodology,ACM,10.1145/3770084,https://scispace.com/paper/a-survey-on-llm-based-code-generation-for-low-resource-and-yoqdp9cxqn97,Systematic Review,General LLMs,"RQ3, RQ5, RQ6, RQ7",Not specified.,"• LLM performance in LRPLs and DSLs is a critical challenge.
• Challenges include severe data scarcity and specialized syntax/semantics.
• A lack of standard approaches and benchmark datasets exists for LRPL/DSL evaluation.",Enhanced development efficiency in specialized domains and applications,Top venue,125.2
E007,Xinyi Hou Yanjie Zhao Yue Liu Zhou Yang Kailong Wang Li Li Xiapu Luo David Lo John Grundy Haoyu Wang (2024) [E007],Large Language Models for Software Engineering: A Systematic Literature Review,"Xinyi Hou
Yanjie Zhao
Yue Liu
Zhou Yang
Kailong Wang
Li Li
Xiapu Luo
David Lo
John Grundy
Haoyu Wang",2024.0,Journal Article,ACM Transactions on Software Engineering and Methodology,ACM,10.1145/3695988,https://scispace.com/paper/large-language-models-for-software-engineering-a-systematic-3aicge5kusmi,Systematic Review,Not specified,Not available in metadata.,Not specified,"*   The study is a systematic literature review analyzing 395 papers on LLMs in SE from 2017-2024.
*   It categorizes LLMs, analyzes data methods, optimizes performance, and identifies successful SE tasks.
*   The review discusses current state-of-the-art, trends, research gaps, and future study areas.","Optimized processes, Optimized outcomes, Success in specific SE tasks, Practical contributions to the field",Top venue,121.5
E008,Joel Becker Nate Rush Elizabeth Barnes David Rein (2025) [E008],Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,"Joel Becker
Nate Rush
Elizabeth Barnes
David Rein",2025.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2507.09089,https://scispace.com/paper/measuring-the-impact-of-early-2025-ai-on-experienced-open-o2yurz1hz0t5,Controlled Experiment,"Cursor Pro, Claude 3.5/3.7 Sonnet","RQ1, RQ6",completion time,"• AI tools increased completion time by 19% for experienced open-source developers.
• This slowdown contradicted developer forecasts (24% shorter) and expert predictions (38-39% shorter).
• The slowdown effect was robust across analyses, suggesting it's not primarily an experimental artifact.",Not reported,Preprint,120.8
E009,Antonio Mastropaolo Luca Pascarella Emanuela Guglielmi Matteo Ciniselli Simone Scalabrino Rocco Oliveto Gabriele Bavota (2023) [E009],On the robustness of code generation techniques: An empirical study on github copilot,"Antonio Mastropaolo
Luca Pascarella
Emanuela Guglielmi
Matteo Ciniselli
Simone Scalabrino
Rocco Oliveto
Gabriele Bavota",2023.0,Proceedings Article,International Conference on Software Engineering,IEEE,10.1109/ICSE48619.2023.00181,https://scispace.com/paper/on-the-robustness-of-code-generation-techniques-an-empirical-15e9tihl,Other (Empirical Study),GitHub Copilot,"RQ5, RQ6","Same recommended function, Correctness of the generated code","*   Modifying natural language descriptions results in different code recommendations in ∼46% of cases.
*   Semantically equivalent descriptions might impact correctness of generated code (±28%).","Unprecedented ability to automatically generate entire functions, Usefulness is evident",Top venue,120.8
E010,Kohei Dozono Tiago Espinha Gasiba Andrea Stocco (2024) [E010],"Large Language Models for Secure Code Assessment: A Multi-Language
  Empirical Study","Kohei Dozono
Tiago Espinha Gasiba
Andrea Stocco",2024.0,Journal Article,,arXiv,10.48550/arxiv.2408.06428,https://scispace.com/paper/large-language-models-for-secure-code-assessment-a-multi-24rt2yfeyaem,Other (specify): Experimental Study and User Study,"GPT-3.5- Turbo, GPT-4 Turbo, GPT-4o, CodeLLama-7B, CodeLLama- 13B, Gemini 1.5 Pro","RQ1, RQ6","Vulnerability detection scores, CWE classification scores, Accuracy, Speed","• GPT-4o achieved the highest vulnerability detection and CWE classification scores.
• A library, CODEGUARDIAN, was developed for LLM-assisted real-time vulnerability analysis.
• Developers using CODEGUARDIAN were more accurate and faster at detecting vulnerabilities.","More accurate vulnerability detection, Faster vulnerability detection",Preprint,120.0
