"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Disrupting Test Development with AI Assistants: Building the Base of the Test Pyramid with Three AI Coding Assistants","https://scispace.com/paper/disrupting-test-development-with-ai-assistants-building-the-1jqamx2iggxp","2024","Journal Article","","Vijay Keshav Joshi
I.W. Band","10.36227/techrxiv.173014488.82191966/v1","","Recent advancements in large language models, including GPT-4 and its variants, and Generative AI-assisted coding tools like GitHub Copilot, ChatGPT, and Tabnine, have significantly transformed software development. This paper analyzes how these innovations impact productivity and software test development metrics. These tools enable developers to generate complete software programs with minimal human intervention before deployment. However, thorough review and testing by developers are still crucial. Utilizing the Test Pyramid concept, which categorizes tests into unit, integration, and end-to-end tests, we evaluate three popular AI coding assistants by generating and comparing unit tests for opensource modules. Our findings show that AI-generated tests are of equivalent quality to original tests, highlighting differences in usage and results among the tools. This research enhances the understanding and capabilities of AI-assistant tools in automated testing.","This study evaluates the impact of AI coding assistants on software test development, analyzing three tools' ability to generate unit tests for open-source modules, finding equivalent quality to original tests, and highlighting differences in usage and results."
"Performance, Workload, Emotion, and Self-Efficacy of Novice Programmers Using AI Code Generation","https://scispace.com/paper/performance-workload-emotion-and-self-efficacy-of-novice-5ciyse1cee","2024","Journal Article","","Nicholas Gardella
Raymond Pettit
Sara L. Riggs","10.1145/3649217.3653615","","Artificial Intelligence-driven Development Environments (AIDEs) offer developers revolutionary computer programming assistance. There is great potential in incorporating AIDEs into Computer Science education; however, the effects of these tools should be fully examined before doing so. Here, a within-subjects study was conducted to compare the programming performance, workload, emotion, and self-efficacy of seventeen novices coding with and without use of the GitHub Copilot AIDE under time pressure. Results showed that using the AIDE significantly increased programming efficiency and reduced effort and mental workload but did not significantly impact emotion or self-efficacy. However, participants' performance improved with more experience using the AI, and their self-efficacy followed. The results suggest that students who try AIDEs will likely be tempted to use them for time-sensitive work. There is no evidence that providing AIDEs will aid struggling students, but there is a clear need for students to practice with AI to become competent and confident using it.","Using the AIDE significantly increased programming efficiency and reduced effort and mental workload but did not significantly impact emotion or self-efficacy, and the results suggest that students who try AIDEs will likely be tempted to use them for time-sensitive work."
"Using ChatGPT throughout the Software Development Life Cycle by Novice Developers","https://scispace.com/paper/using-chatgpt-throughout-the-software-development-life-cycle-s24px9352g","2023","Journal Article","arXiv.org","Muhammad Waseem
Teerath Das
Aakash Ahmad
Mahdi Fahmideh
Peng Liang
Tommi Mikkonen","10.48550/arxiv.2310.13648","","This study investigates the impact of ChatGPT -- a generative AI-based tool -- on undergraduate students' software development experiences. Through a three-month project involving seven undergraduate students, ChatGPT was employed as a supporting tool, and their experiences were systematically surveyed before and after the projects. The research aims to answer four key questions related to ChatGPT's effectiveness, advantages, limitations, impact on learning, and challenges faced. The findings revealed significant skill gaps among undergraduate students, underscoring the importance of addressing educational deficiencies in software development. ChatGPT was found to have a positive influence on various phases of the software development life cycle, leading to enhanced efficiency, accuracy, and collaboration. ChatGPT also consistently improved participants' foundational understanding and soft skills in software development. These findings underscore the significance of integrating AI tools like ChatGPT into undergraduate students education, particularly to bridge skill gaps and enhance productivity. However, a nuanced approach to technology reliance is essential, acknowledging the variability in opinions and the need for customization. Future research should explore strategies to optimize ChatGPT's application across development contexts, ensuring it maximizes learning while addressing specific challenges.","Assessment of ChatGPT's effectiveness, benefits, limitations, and its influence on learning showed that ChatGPT significantly addresses skill gaps in software development education, enhancing efficiency, accuracy, and collaboration."
"Security Weaknesses of Copilot-Generated Code in GitHub Projects: An Empirical Study","https://scispace.com/paper/security-weaknesses-of-copilot-generated-code-in-github-3y71wds2hqfn","2023","Journal Article","ACM Transactions on Software Engineering and Methodology","Yujia Fu
Peng Liang
Amjed Tahir
Zengyang Li
Mojtaba Shahin
Jiaxin Yu
Jinfu Chen","10.1145/3716848","","Modern code generation tools utilizing AI models like Large Language Models have gained increased popularity due to their ability to produce functional code. However, their usage presents security challenges, often resulting in insecure code merging into the code base. Thus, evaluating the quality of generated code, especially its security, is crucial. While prior research explored various aspects of code generation, the focus on security has been limited, mostly examining code produced in controlled environments rather than open source development scenarios. To address this gap, we conducted an empirical study, analyzing code snippets generated by GitHub Copilot and two other AI code generation tools (i.e., CodeWhisperer and Codeium) from GitHub projects. Our analysis identified 733 snippets, revealing a high likelihood of security weaknesses, with 29.5% of Python and 24.2% of JavaScript snippets affected. These issues span 43 Common Weakness Enumeration (CWE) categories, including significant ones like CWE-330: Use of Insufficiently Random Values, CWE-94: Improper Control of Generation of Code, and CWE-79: Cross-site Scripting. Notably, eight of those CWEs are among the 2023 CWE Top-25, highlighting their severity. We further examined using Copilot Chat to fix security issues in Copilot-generated code by providing Copilot Chat with warning messages from the static analysis tools, and up to 55.5% of the security issues can be fixed. We finally provide the suggestions for mitigating security issues in generated code.","This study examines the security weaknesses of AI-generated code in GitHub projects, specifically Copilot, CodeWhisperer, and Codeium, identifying 733 security issues across 43 CWE categories, with 29.5% of Python and 24.2% of JavaScript snippets affected."
"The Impact of Generative AI-Powered Code Generation Tools on Software
  Engineer Hiring: Recruiters' Experiences, Perceptions, and Strategies","https://scispace.com/paper/the-impact-of-generative-ai-powered-code-generation-tools-on-i2122n8jeepu","2024","Journal Article","","Alyssia Chen
Timothy Huo
Yunhee Nam
Dan Port
Anthony Peruma","10.48550/arxiv.2409.00875","","The rapid advancements in Generative AI (GenAI) tools, such as ChatGPT and GitHub Copilot, are transforming software engineering by automating code generation tasks. While these tools improve developer productivity, they also present challenges for organizations and hiring professionals in evaluating software engineering candidates' true abilities and potential. Although there is existing research on these tools in both industry and academia, there is a lack of research on how these tools specifically affect the hiring process. Therefore, this study aims to explore recruiters' experiences and perceptions regarding GenAI-powered code generation tools, as well as their challenges and strategies for evaluating candidates. Findings from our survey of 32 industry professionals indicate that although most participants are familiar with such tools, the majority of organizations have not adjusted their candidate evaluation methods to account for candidates' use/knowledge of these tools. There are mixed opinions on whether candidates should be allowed to use these tools during interviews, with many participants valuing candidates who can effectively demonstrate their skills in using these tools. Additionally, most participants believe that it is important to incorporate GenAI-powered code generation tools into computer science curricula and mention the key risks and benefits of doing so. ","This study explores the impact of Generative AI-powered code generation tools on software engineer hiring, revealing mixed opinions on tool use during interviews and a need for updated evaluation methods and computer science curricula."
"University Students' Perception and Expectations of Generative AI Tools for Software Engineering","https://scispace.com/paper/university-students-perception-and-expectations-of-5a2l3yjz56xk","2024","Proceedings Article","","Mounika Yabaku
Sofia Ouhbi","10.1109/cseet62301.2024.10663035","","Adopting Generative Artificial Intelligence (AI) tools in software engineering represents a shift in how tasks like coding and idea generation are approached. This paper investigates uni-versity students' perceptions and expectations regarding the use of Generative AI tools such as ChatGPT and Copilot in software engineering. To achieve this, we conducted a questionnaire study with volunteer participants studying at Uppsala University in Sweden, resulting in a total of 127 responses. These responses were about the usage preferences, motivations for adoption, per-ceived benefits, encountered challenges, and suggested improve-ment of these tools. The findings reveal that 16 % of participants have never used a Generative AI tool, while of those who have used such tools predominantly use ChatGPT3.5. Among users of Generative AI, respondents reported benefits such as code optimization and idea generation, alongside challenges such as inaccuracies in generated content and understanding user intent. Despite these challenges, participants perceive the integration of Generative AI tools as transformative for traditional software engineering practices. The results of this paper offer insights into the practical use of AI tools and suggestions for improving their functionality, thereby influencing the future direction of software engineering education.","This study investigates university students' perceptions and expectations of Generative AI tools like ChatGPT and Copilot in software engineering, revealing benefits, challenges, and preferences, with implications for software engineering education and AI tool improvement."
"Early Results from a Study of GenAI Adoption in a Large Brazilian Company: The Case of Globo","https://scispace.com/paper/early-results-from-a-study-of-genai-adoption-in-a-large-23oapsjusb","2024","Book Chapter","","Guilherme Pereira
Rafael Prikladnicki
Victoria Jackson
André van der Hoek
Luciane Fortes
Igor Macaubas","10.1007/978-3-031-55642-5_13","","Given the nascent and evolving nature of the latest generative AI tools, there is little advice as to how best adopt generative AI tools within software teams or what benefits and concerns can be expected. In this chapter, we share the experiences of Globo, a large media group that has recently begun to adopt OpenAI ChatGPT and GitHub Copilot for software development activities. We describe Globo's adoption approach and provide early insights into potential benefits and concerns in the form of eight initial lessons that are apparent from diaries kept by developers as well as semi-structured interview with them. Among the lessons learned are that the use of generative AI tools drives the adoption of additional developer tools and that developers intentionally use ChatGPT and Copilot in a complementary manner. We hope that sharing these practical experiences will help other software teams in successfully adopting generative AI tools. ","Early results from a study of GenAI adoption in a large Brazilian company show that generative AI tools can benefit software development activities, driving the adoption of additional developer tools and leading to a complementary use of ChatGPT and Copilot."
"Developer Behaviors in Validating and Repairing LLM-Generated Code Using IDE and Eye Tracking","https://scispace.com/paper/developer-behaviors-in-validating-and-repairing-llm-66rf3n5ua10y","2024","Journal Article","","Ningzhi Tang
Meng Chen
Ning Zheng
Aakash Bansal
Yu Huang
Collin McMillan
Toby Jia-Jun Li","10.1109/vl/hcc60511.2024.00015","","The increasing use of large language model (LLM)-powered code generation tools, such as GitHub Copilot, is transforming software engineering practices. This paper investigates how developers validate and repair code generated by Copilot and examines the impact of code provenance awareness during these processes. We conducted a lab study with 28 participants tasked with validating and repairing Copilot-generated code in three software projects. Participants were randomly divided into two groups: one informed about the provenance of LLM-generated code and the other not. We collected data on IDE interactions, eye-tracking, cognitive workload assessments, and conducted semi-structured interviews. Our results indicate that, without explicit information, developers often fail to identify the LLM origin of the code. Developers exhibit LLM-specific behaviors such as frequent switching between code and comments, different attentional focus, and a tendency to delete and rewrite code. Being aware of the code’s provenance led to improved performance, increased search efforts, more frequent Copilot usage, and higher cognitive workload. These findings enhance our understanding of developer interactions with LLM-generated code and inform the design of tools for effective human-LLM collaboration in software development.","This study investigates developer behaviors when validating and repairing LLM-generated code, finding that awareness of code provenance improves performance, but also increases cognitive workload and search efforts, with LLM-specific behaviors exhibited in IDE interactions and eye-tracking data."
"Using AI Assistants in Software Development: A Qualitative Study on
  Security Practices and Concerns","https://scispace.com/paper/using-ai-assistants-in-software-development-a-qualitative-57zkktxgfq","2024","Preprint","","Jan H. Klemmer
Stefan Albert Horstmann
Nikhil Patnaik
Cordelia Ludden
Christopher J. Burton
Christopher M. Powers
Fabio Massacci
Akond Rahman
Daniel Votipka
Heather Richter Lipford
Awais Rashid
Alena Naiakshina
Sascha Fahl","10.48550/arxiv.2405.06371","","Following the recent release of AI assistants, such as OpenAI's ChatGPT and GitHub Copilot, the software industry quickly utilized these tools for software development tasks, e.g., generating code or consulting AI for advice. While recent research has demonstrated that AI-generated code can contain security issues, how software professionals balance AI assistant usage and security remains unclear. This paper investigates how software professionals use AI assistants in secure software development, what security implications and considerations arise, and what impact they foresee on secure software development. We conducted 27 semi-structured interviews with software professionals, including software engineers, team leads, and security testers. We also reviewed 190 relevant Reddit posts and comments to gain insights into the current discourse surrounding AI assistants for software development. Our analysis of the interviews and Reddit posts finds that despite many security and quality concerns, participants widely use AI assistants for security-critical tasks, e.g., code generation, threat modeling, and vulnerability detection. Their overall mistrust leads to checking AI suggestions in similar ways to human code, although they expect improvements and, therefore, a heavier use for security tasks in the future. We conclude with recommendations for software professionals to critically check AI suggestions, AI creators to improve suggestion security and capabilities for ethical security tasks, and academic researchers to consider general-purpose AI in software development. ","Software professionals widely use AI assistants for security-critical tasks despite security and quality concerns. Their overall mistrust leads to checking AI suggestions in similar ways to human code."
"Uma análise do uso de ferramentas de geração de código por alunos de computação","https://scispace.com/paper/uma-analise-do-uso-de-ferramentas-de-geracao-de-codigo-por-hynq5etyo9","2024","Journal Article","","Werney Ayala Luz Lira
Pedro de A. dos Santos Neto
Luiz Fernando Mendes Osorio","10.5753/educomp.2024.237427","","O GitHub Copilot é um assistente de código que utiliza inteligência artificial para auxiliar desenvolvedores em suas tarefas de codificação. Por ser uma ferramenta relativamente nova, muitos pesquisadores tem dirigido esforços para avaliar a sua eficiência. No intuito de realizar uma avaliação dessa ferramenta dentro do ambiente acadêmico, foi proposto um experimento, no qual alguns alunos de graduação em computação resolveram problemas simples de programação com e sem o auxilio dessa ferramenta, para assim, avaliar o impacto de ferramentas desse tipo no processo de ensino/aprendizado. Os resultados mostram que os alunos que utilizaram o GitHub Copilot resolveram mais problemas corretamente e em menos tempo. A partir da análise estatística realizada concluiu-se que os tempos médios dos alunos que utilizaram o GitHub Copilot e os que não utilizaram são estatisticamente significativos. ","A ferramenta GitHub Copilot aumenta a eficiência na resolução de problemas de programação para alunos de computação."
