"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Analysis of LLM Code Synthesis in Software Productivity","https://scispace.com/paper/analysis-of-llm-code-synthesis-in-software-productivity-1a6xz4s4ihht","2024","Journal Article","","Anupam Anand
Shivali Chopra
Mohit Arora","10.56155/978-81-955020-9-7-24","","The use of LLMs in code generation tools has introduced a paradigm shift in software development, streamlining the process and enhancing automation and efficiency. This study presents a comprehensive analysis of the applications and effectiveness of the Large Language Model (LLM) in code synthesis based upon the analysis of various models. The LLM techniques where programming codes are significantly constrained on high level and lowlevel programming paradigm, has emerged as a dominant strategy in software productivity due to its inherent ability to promote efficiency and minimize time to build logic. Our research systematically explores the impact of LLM on the performance outcomes on various programming languages, comparing it to traditional code practices. We analyze multiple case studies, quantitatively evaluating the success rates, efficiency, and problem-solving capacity of LLM-based solutions. Preliminary findings indicate that LLM encourages a unique problem-solving approach, despite its limitations, often results in highly efficient and innovative solutions. However, the technique also presents a steep learning curve that may deter novice programmers. This study aims to contribute to the body of knowledge on software productivity strategies and the continuing discourse on code efficiency and optimization. ","This study analyzes the effectiveness of Large Language Models (LLMs) in code synthesis, exploring their impact on software productivity, efficiency, and problem-solving capacity, and comparing them to traditional code practices in various programming languages."
"How much does AI impact development speed? An enterprise-based
  randomized controlled trial","https://scispace.com/paper/how-much-does-ai-impact-development-speed-an-enterprise-23p8emzgcvz3","2024","Journal Article","","Elise Paradis
Kate Grey
Quinn Madison
Daye Nam
Andrew Macvean
Nan Zhang
Ben Ferrari-Church
Satish Chandra","10.48550/arxiv.2410.12944","","How much does AI assistance impact developer productivity? To date, the software engineering literature has provided a range of answers, targeting a diversity of outcomes: from perceived productivity to speed on task and developer throughput. Our randomized controlled trial with 96 full-time Google software engineers contributes to this literature by sharing an estimate of the impact of three AI features on the time developers spent on a complex, enterprise-grade task. We found that AI significantly shortened the time developers spent on task. Our best estimate of the size of this effect, controlling for factors known to influence developer time on task, stands at about 21\%, although our confidence interval is large. We also found an interesting effect whereby developers who spend more hours on code-related activities per day were faster with AI. Product and future research considerations are discussed. In particular, we invite further research that explores the impact of AI at the ecosystem level and across multiple suites of AI-enhanced tools, since we cannot assume that the effect size obtained in our lab study will necessarily apply more broadly, or that the effect of AI found using internal Google tooling in the summer of 2024 will translate across tools and over time. ","A randomized controlled trial with 96 Google software engineers found AI assistance significantly shortened task time by approximately 21%, with developers who spent more hours on code-related activities per day benefiting most from AI."
"Benchmarking ChatGPT, Codeium, and GitHub Copilot: A Comparative Study
  of AI-Driven Programming and Debugging Assistants","https://scispace.com/paper/benchmarking-chatgpt-codeium-and-github-copilot-a-3xdh28sizadi","2024","Journal Article","","Md Sultanul Islam Ovi
Najam Akber Anjum
Tasmina Haque Bithe
Mohammad Masudur Rahman
Mst. Shahnaj Akter Smrity","10.48550/arxiv.2409.19922","","With the increasing adoption of AI-driven tools in software development, large language models (LLMs) have become essential for tasks like code generation, bug fixing, and optimization. Tools like ChatGPT, GitHub Copilot, and Codeium provide valuable assistance in solving programming challenges, yet their effectiveness remains underexplored. This paper presents a comparative study of ChatGPT, Codeium, and GitHub Copilot, evaluating their performance on LeetCode problems across varying difficulty levels and categories. Key metrics such as success rates, runtime efficiency, memory usage, and error-handling capabilities are assessed. GitHub Copilot showed superior performance on easier and medium tasks, while ChatGPT excelled in memory efficiency and debugging. Codeium, though promising, struggled with more complex problems. Despite their strengths, all tools faced challenges in handling harder problems. These insights provide a deeper understanding of each tool's capabilities and limitations, offering guidance for developers and researchers seeking to optimize AI integration in coding workflows. ","This study compares ChatGPT, Codeium, and GitHub Copilot on LeetCode problems, evaluating success rates, runtime efficiency, memory usage, and error-handling capabilities, revealing strengths and limitations of each tool in AI-driven programming and debugging."
"AI-Powered Software Engineering: Integrating Advanced Techniques for Optimal Development","https://scispace.com/paper/ai-powered-software-engineering-integrating-advanced-lij2tuav9gh0","2024","Repository","","Gutiérrez María","10.5281/zenodo.13738232","","This paper delves into the integration of Artificial Intelligence (AI) within the software engineering lifecycle, examining its transformative effects on coding, testing, and maintenance. The study identifies specific improvements brought about by AI, such as enhanced efficiency and accuracy in coding, improved testing processes through automated test case generation and defect prediction, and effective maintenance strategies using AI-driven bug fixing and refactoring. However, it also highlights significant challenges, including data quality, model explainability, and integration with existing processes. By providing a comprehensive analysis of AI’s role across various stages of software development, this paper aims to bridge existing research gaps and offer practical strategies for real-world applications. Future research directions are suggested to explore AI’s potential in design and requirements analysis phases and to develop robust, explainable AI models tailored for software engineering. The findings underscore the transformative potential of AI in software engineering and the need for collaborative efforts to address integration challenges. ",""
"Measuring AI Impact on Software Engineering Productivity and Quality","https://scispace.com/paper/measuring-ai-impact-on-software-engineering-productivity-and-1hh12rjhsdad","2025","Journal Article","","Selami Bağrıyanık
Ersin Ersoy","10.1109/ubmk67458.2025.11206890","","Objectively assessing software development productivity and quality is a critical challenge for modern organizations, given software's pivotal role and significant investment. The inherent complexity of software engineering processes, however, hinders accurate value measurement. This challenge is further amplified by ambitious contemporary claims of ""10x productivity gains"" from AI-Driven Software Engineering and other ""silver bullet"" solutions. Such revolutionary assertions require rigorous, standardized measurement methodologies to avoid being unverifiable and potentially misleading. To address this, we developed a novel method integrating COSMIC Function Point size measurement with statistical sampling techniques. Conducted within Wingie Enuygun Group R&D, preliminary findings demonstrate this method's potential for consistent evaluation and monitoring of software productivity and quality across all organizational levels.","Researchers developed a novel method combining COSMIC Function Point size measurement with statistical sampling to objectively assess software development productivity and quality, yielding consistent evaluation and monitoring across organizational levels."
"Is ChatGPT the Ultimate Programming Assistant - How far is it?","https://scispace.com/paper/is-chatgpt-the-ultimate-programming-assistant-how-far-is-it-nrpt2kwu","2023","Journal Article","arXiv.org","Haoye Tian
Weiqi Lu
Tsz On Li
Xunzhu Tang
S. Chung
Jacques Klein
Tegawend'e F. Bissyand'e","10.48550/arXiv.2304.11938","","The recent progress in generative AI techniques has significantly influenced software engineering, as AI-driven methods tackle common developer challenges such as code synthesis from descriptions, program repair, and natural language summaries for existing programs. Large-scale language models (LLMs), like OpenAI's Codex, are increasingly adopted in AI-driven software engineering. ChatGPT, another LLM, has gained considerable attention for its potential as a bot for discussing source code, suggesting changes, providing descriptions, and generating code. To evaluate the practicality of LLMs as programming assistant bots, it is essential to examine their performance on unseen problems and various tasks. In our paper, we conduct an empirical analysis of ChatGPT's potential as a fully automated programming assistant, emphasizing code generation, program repair, and code summarization. Our study assesses ChatGPT's performance on common programming problems and compares it to state-of-the-art approaches using two benchmarks. Our research indicates that ChatGPT effectively handles typical programming challenges. However, we also discover the limitations in its attention span: comprehensive descriptions can restrict ChatGPT's focus and impede its ability to utilize its extensive knowledge for problem-solving. Surprisingly, we find that ChatGPT's summary explanations of incorrect code provide valuable insights into the developer's original intentions. This insight can be served as a foundation for future work addressing the oracle problem. Our study offers valuable perspectives on the development of LLMs for programming assistance, specifically by highlighting the significance of prompt engineering and enhancing our comprehension of ChatGPT's practical applications in software engineering.","In this article , the authors conduct an empirical analysis of ChatGPT's potential as a fully automated programming assistant, emphasizing code generation, program repair, and code summarization, and find that the summary explanations of incorrect code provide valuable insights into the developer's original intentions."
"Is ChatGPT the Ultimate Programming Assistant -- How far is it?","https://scispace.com/paper/is-chatgpt-the-ultimate-programming-assistant-how-far-is-it-2zvq12eq","2023","Posted Content","","","10.48550/arxiv.2304.11938","","The recent progress in generative AI techniques has significantly influenced software engineering, as AI-driven methods tackle common developer challenges such as code synthesis from descriptions, program repair, and natural language summaries for existing programs. Large-scale language models (LLMs), like OpenAI's Codex, are increasingly adopted in AI-driven software engineering. ChatGPT, another LLM, has gained considerable attention for its potential as a bot for discussing source code, suggesting changes, providing descriptions, and generating code. To evaluate the practicality of LLMs as programming assistant bots, it is essential to examine their performance on unseen problems and various tasks. In our paper, we conduct an empirical analysis of ChatGPT's potential as a fully automated programming assistant, emphasizing code generation, program repair, and code summarization. Our study assesses ChatGPT's performance on common programming problems and compares it to state-of-the-art approaches using two benchmarks. Our research indicates that ChatGPT effectively handles typical programming challenges. However, we also discover the limitations in its attention span: comprehensive descriptions can restrict ChatGPT's focus and impede its ability to utilize its extensive knowledge for problem-solving. Surprisingly, we find that ChatGPT's summary explanations of incorrect code provide valuable insights into the developer's original intentions. This insight can be served as a foundation for future work addressing the oracle problem. Our study offers valuable perspectives on the development of LLMs for programming assistance, specifically by highlighting the significance of prompt engineering and enhancing our comprehension of ChatGPT's practical applications in software engineering. ","In this article , the authors conduct an empirical analysis of ChatGPT's potential as a fully automated programming assistant, emphasizing code generation, program repair, and code summarization, and find that the summary explanations of incorrect code provide valuable insights into the developer's original intentions."
"The use of ai in software engineering: a synthetic knowledge synthesis of the recent research literature","https://scispace.com/paper/the-use-of-ai-in-software-engineering-a-synthetic-knowledge-kbp2c8miy1sh","2025","Repository","","Vinay Kumar Deeti","10.5281/zenodo.15593968","","The field of software engineering experiences a revolutionary transformation through Artificial Intelligence by executing automated tasks which include code development alongside testing protocols and debugging operations and security system enhancement. The implementation of artificial intelligence achieves better efficiency while reducing manual work and software quality improvement through its usage of machine learning together with deep learning and NLP functions. The authors use an investigation that explores AI-based software development by examining both academic research as well as industrial application frameworks. The study analyzes AI methodology and investigates barriers to adoption before presenting plans for successful AI use. AI has revolutionized software engineering through self-operated code production. AI learns code generation from large programming databases to produce consistent and understandable programming code from natural language specifications which builds both developer speed and eases the learning process for novice programmers. Some state-of-the-art AI code tools generate exact code but developers face three main obstacles that involve system security considerations along with logic issues and moral dangers. The integration of AI-generated software requires solving current limitations to build better trust among users. Experts continue investigation to develop AI-driven development techniques that guarantee security and reliability. The study examines AI’s complete impact on software engineering by discussing its advantages against its difficulties and foreseeable influence on the industry. Modern developments in Artificial Intelligence indicate that software development practices will advance through streamlining workflow processes as well as improving worldwide software engineering practices. ",""
"Why Do Developers Engage with ChatGPT in Issue-Tracker? Investigating
  Usage and Reliance on ChatGPT-Generated Code","https://scispace.com/paper/why-do-developers-engage-with-chatgpt-in-issue-tracker-2cszk4u40cjz","2024","Journal Article","","Joy Krishan Das
Saikat Mondal
Chanchal K. Roy","10.48550/arxiv.2412.06757","","Large language models (LLMs) like ChatGPT have shown the potential to assist developers with coding and debugging tasks. However, their role in collaborative issue resolution is underexplored. In this study, we analyzed 1,152 Developer-ChatGPT conversations across 1,012 issues in GitHub to examine the diverse usage of ChatGPT and reliance on its generated code. Our contributions are fourfold. First, we manually analyzed 289 conversations to understand ChatGPT's usage in the GitHub Issues. Our analysis revealed that ChatGPT is primarily utilized for ideation, whereas its usage for validation (e.g., code documentation accuracy) is minimal. Second, we applied BERTopic modeling to identify key areas of engagement on the entire dataset. We found that backend issues (e.g., API management) dominate conversations, while testing is surprisingly less covered. Third, we utilized the CPD clone detection tool to check if the code generated by ChatGPT was used to address issues. Our findings revealed that ChatGPT-generated code was used as-is to resolve only 5.83\% of the issues. Fourth, we estimated sentiment using a RoBERTa-based sentiment analysis model to determine developers' satisfaction with different usages and engagement areas. We found positive sentiment (i.e., high satisfaction) about using ChatGPT for refactoring and addressing data analytics (e.g., categorizing table data) issues. On the contrary, we observed negative sentiment when using ChatGPT to debug issues and address automation tasks (e.g., GUI interactions). Our findings show the unmet needs and growing dissatisfaction among developers. Researchers and ChatGPT developers should focus on developing task-specific solutions that help resolve diverse issues, improving user satisfaction and problem-solving efficiency in software development. ","This study examines developers' engagement with ChatGPT in GitHub issue-trackers, analyzing 1,152 conversations across 1,012 issues, revealing diverse usage and reliance on ChatGPT-generated code, with unmet needs and growing dissatisfaction among developers."
"Rethinking Technology Stack Selection with AI Coding Proficiency","https://scispace.com/paper/rethinking-technology-stack-selection-with-ai-coding-13ad2whwhlq3","2025","Journal Article","","Zhang Xiao-yu
Jiang Weipeng
Zhai, Juan
Ma, Shiqing
Lin, Chenhao
Shen Chao
Li Tianlin
Liu Yang","10.48550/arxiv.2509.11132","","Large language models (LLMs) are now an integral part of software development workflows and are reshaping the whole process. Traditional technology stack selection has not caught up. Most of the existing selection methods focus solely on the inherent attributes of the technology, overlooking whether the LLM can effectively leverage the chosen technology. For example, when generating code snippets using popular libraries like Selenium (one of the most widely used test automation tools with over 33k GitHub stars), existing LLMs frequently generate low-quality code snippets (e.g., using deprecated APIs and methods, or containing syntax errors). As such, teams using LLM assistants risk choosing technologies that cannot be used effectively by LLMs, yielding high debugging effort and mounting technical debt. We foresee a practical question in the LLM era, is a technology ready for AI-assisted development? In this paper, we first propose the concept, AI coding proficiency, the degree to which LLMs can utilize a given technology to generate high-quality code snippets. We conduct the first comprehensive empirical study examining AI proficiency across 170 third-party libraries and 61 task scenarios, evaluating six widely used LLMs. Our findings reveal that libraries with similar functionalities can exhibit up to 84% differences in the quality score of LLM-generated code, while different models also exhibit quality gaps among their generation results using the same library. These gaps translate into real engineering costs and can steer developer choices toward a narrow set of libraries with high AI coding proficiency, threatening technological diversity in the ecosystem. We call on the community to integrate AI proficiency assessments into technology selection frameworks and develop mitigation strategies, preserving competitive balance in AI-driven development. ",""
